#M	Z	ir-191	ir-193
1.200000e+01	6.000000e-03	1.052000e-10	1.789000e-10
1.500000e+01	6.000000e-03	7.618000e-11	1.296000e-10
2.000000e+01	6.000000e-03	1.170000e-10	1.989000e-10
2.500000e+01	6.000000e-03	3.543000e-10	6.025000e-10
