#M	Z	c-12	c-13
1.200000e+01	6.000000e-03	8.044000e-04	1.635000e-05
1.500000e+01	6.000000e-03	5.894000e-04	1.335000e-05
2.000000e+01	6.000000e-03	9.575000e-04	8.360000e-06
2.500000e+01	6.000000e-03	2.635000e-03	3.875000e-05
