#M_sun	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
8	0	0	0	0	0	0	0
1.200000e+01	2.267000e-11	7.805000e-12	5.383000e-11	5.369000e-11	7.343000e-11	1.372000e-10	8.253000e-11
1.500000e+01	1.642000e-11	5.652000e-12	3.898000e-11	3.888000e-11	5.318000e-11	9.932000e-11	5.977000e-11
2.000000e+01	2.521000e-11	8.680000e-12	5.986000e-11	5.971000e-11	8.166000e-11	1.525000e-10	9.178000e-11
2.500000e+01	7.636000e-11	2.628000e-11	1.813000e-10	1.808000e-10	2.473000e-10	4.619000e-10	2.779000e-10
