#M_sun	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
8	0	0	0	0	0	0
1.200000e+01	9.542000e-14	3.128000e-12	1.114000e-11	1.644000e-11	8.255000e-12	2.145000e-11
1.500000e+01	6.910000e-14	2.265000e-12	8.070000e-12	1.191000e-11	5.978000e-12	1.553000e-11
2.000000e+01	1.061000e-13	3.479000e-12	1.239000e-11	1.828000e-11	9.180000e-12	2.385000e-11
2.500000e+01	3.213000e-13	1.053000e-11	3.753000e-11	5.536000e-11	2.780000e-11	7.222000e-11
