#M	Z	he-3	he-4
1.200000e+01	6.000000e-03	5.337000e-05	3.425000e-01
1.500000e+01	6.000000e-03	3.792000e-05	2.528000e-01
2.000000e+01	6.000000e-03	6.825000e-05	4.026000e-01
2.500000e+01	6.000000e-03	1.973000e-04	1.299000e+00
