#M	Z	k-39	k-40	k-41
1.200000e+01	6.000000e-03	3.022000e-07	3.864000e-11	2.293000e-08
1.500000e+01	6.000000e-03	2.189000e-07	2.801000e-11	1.661000e-08
2.000000e+01	6.000000e-03	3.361000e-07	4.307000e-11	2.550000e-08
2.500000e+01	6.000000e-03	1.018000e-06	1.304000e-10	7.722000e-08
