#M_sun	mg-24	mg-25	mg-26
8	0	0	0
1.200000e+01	1.171000e-04	5.767000e-06	7.091000e-06
1.500000e+01	8.477000e-05	4.123000e-06	5.187000e-06
2.000000e+01	1.302000e-04	6.201000e-06	8.085000e-06
2.500000e+01	3.942000e-04	1.770000e-05	2.550000e-05
