#M	Z	cs-133
1.200000e+01	6.000000e-03	1.105000e-10
1.500000e+01	6.000000e-03	8.003000e-11
2.000000e+01	6.000000e-03	1.229000e-10
2.500000e+01	6.000000e-03	3.722000e-10
