#M	Z	zr-90	zr-91	zr-92	zr-94	zr-96
1.200000e+01	6.000000e-03	1.189000e-09	2.623000e-10	4.051000e-10	4.195000e-10	6.900000e-11
1.500000e+01	6.000000e-03	8.611000e-10	1.899000e-10	2.933000e-10	3.038000e-10	4.997000e-11
2.000000e+01	6.000000e-03	1.322000e-09	2.917000e-10	4.505000e-10	4.665000e-10	7.674000e-11
2.500000e+01	6.000000e-03	4.005000e-09	8.832000e-10	1.364000e-09	1.413000e-09	2.324000e-10
