#M_sun	cu-63	cu-65
8	0	0
1.200000e+01	5.115000e-08	2.352000e-08
1.500000e+01	3.704000e-08	1.703000e-08
2.000000e+01	5.689000e-08	2.615000e-08
2.500000e+01	1.723000e-07	7.920000e-08
