#M	Z	sm-144	sm-147	sm-148	sm-149	sm-150	sm-152	sm-154
1.200000e+01	6.000000e-03	2.855000e-12	1.422000e-11	1.073000e-11	1.328000e-11	7.140000e-12	2.622000e-11	2.260000e-11
1.500000e+01	6.000000e-03	2.067000e-12	1.030000e-11	7.771000e-12	9.618000e-12	5.171000e-12	1.899000e-11	1.637000e-11
2.000000e+01	6.000000e-03	3.175000e-12	1.581000e-11	1.193000e-11	1.477000e-11	7.940000e-12	2.916000e-11	2.513000e-11
2.500000e+01	6.000000e-03	9.614000e-12	4.788000e-11	3.614000e-11	4.473000e-11	2.405000e-11	8.830000e-11	7.611000e-11
