#M	Z	tl-203	tl-205
1.200000e+01	6.000000e-03	2.496000e-11	6.017000e-11
1.500000e+01	6.000000e-03	1.808000e-11	4.357000e-11
2.000000e+01	6.000000e-03	2.776000e-11	6.691000e-11
2.500000e+01	6.000000e-03	8.406000e-11	2.026000e-10
