#M_sun	br-79	br-81
8	0	0
1.200000e+01	1.077000e-09	1.074000e-09
1.500000e+01	7.797000e-10	7.778000e-10
2.000000e+01	1.197000e-09	1.194000e-09
2.500000e+01	3.626000e-09	3.617000e-09
