#M	Z	mo-92	mo-94	mo-95	mo-96	mo-97	mo-98	mo-100
1.200000e+01	6.000000e-03	7.847000e-11	4.997000e-11	8.695000e-11	9.203000e-11	5.328000e-11	1.360000e-10	5.538000e-11
1.500000e+01	6.000000e-03	5.682000e-11	3.619000e-11	6.296000e-11	6.665000e-11	3.859000e-11	9.846000e-11	4.011000e-11
2.000000e+01	6.000000e-03	8.726000e-11	5.557000e-11	9.669000e-11	1.023000e-10	5.926000e-11	1.512000e-10	6.159000e-11
2.500000e+01	6.000000e-03	2.642000e-10	1.683000e-10	2.928000e-10	3.099000e-10	1.794000e-10	4.579000e-10	1.865000e-10
