#M_sun	rb-85	rb-87
8	0	0
1.200000e+01	9.939000e-10	3.923000e-10
1.500000e+01	7.197000e-10	2.841000e-10
2.000000e+01	1.105000e-09	4.363000e-10
2.500000e+01	3.347000e-09	1.321000e-09
