#M	Z	ge-70	ge-72	ge-73	ge-74	ge-76
1.200000e+01	6.000000e-03	3.997000e-09	5.356000e-09	1.515000e-09	7.152000e-09	1.521000e-09
1.500000e+01	6.000000e-03	2.894000e-09	3.878000e-09	1.097000e-09	5.179000e-09	1.102000e-09
2.000000e+01	6.000000e-03	4.445000e-09	5.956000e-09	1.685000e-09	7.954000e-09	1.692000e-09
2.500000e+01	6.000000e-03	1.346000e-08	1.804000e-08	5.101000e-09	2.409000e-08	5.123000e-09
