#M	Z	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
1.200000e+01	6.000000e-03	1.262000e-12	3.479000e-11	1.223000e-11	6.542000e-11	9.775000e-11	2.616000e-10	4.443000e-10	4.813000e-10
1.500000e+01	6.000000e-03	9.139000e-13	2.519000e-11	8.860000e-12	4.737000e-11	7.079000e-11	1.894000e-10	3.217000e-10	3.486000e-10
2.000000e+01	6.000000e-03	1.403000e-12	3.869000e-11	1.361000e-11	7.275000e-11	1.087000e-10	2.909000e-10	4.941000e-10	5.353000e-10
2.500000e+01	6.000000e-03	4.250000e-12	1.171000e-10	4.120000e-11	2.203000e-10	3.292000e-10	8.809000e-10	1.496000e-09	1.621000e-09
