#M	Z	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
1.200000e+01	6.000000e-03	3.023000e-11	1.995000e-10	1.023000e-09	1.026000e-09	5.117000e-09	1.584000e-09
1.500000e+01	6.000000e-03	2.189000e-11	1.445000e-10	7.406000e-10	7.432000e-10	3.705000e-09	1.147000e-09
2.000000e+01	6.000000e-03	3.361000e-11	2.219000e-10	1.137000e-09	1.141000e-09	5.690000e-09	1.762000e-09
2.500000e+01	6.000000e-03	1.018000e-10	6.720000e-10	3.444000e-09	3.456000e-09	1.723000e-08	5.336000e-09
