#M	Z	o-16	o-17	o-18
1.200000e+01	6.000000e-03	5.489000e-03	1.035000e-06	1.468000e-06
1.500000e+01	6.000000e-03	3.931000e-03	5.397000e-07	1.073000e-06
2.000000e+01	6.000000e-03	5.897000e-03	6.351000e-07	1.673000e-06
2.500000e+01	6.000000e-03	1.680000e-02	2.104000e-06	4.626000e-06
