#M	Z	re-185	re-187
1.200000e+01	6.000000e-03	8.121000e-12	1.379000e-11
1.500000e+01	6.000000e-03	5.881000e-12	1.002000e-11
2.000000e+01	6.000000e-03	9.031000e-12	1.547000e-11
2.500000e+01	6.000000e-03	2.735000e-11	4.723000e-11
