#M	Z	ce-136	ce-138	ce-140	ce-142
1.200000e+01	6.000000e-03	6.496000e-13	8.895000e-13	3.180000e-10	4.053000e-11
1.500000e+01	6.000000e-03	4.704000e-13	6.442000e-13	2.303000e-10	2.935000e-11
2.000000e+01	6.000000e-03	7.224000e-13	9.893000e-13	3.536000e-10	4.507000e-11
2.500000e+01	6.000000e-03	2.188000e-12	2.996000e-12	1.071000e-09	1.365000e-10
