#M	Z	mn-55
1.200000e+01	6.000000e-03	8.510000e-07
1.500000e+01	6.000000e-03	6.163000e-07
2.000000e+01	6.000000e-03	9.464000e-07
2.500000e+01	6.000000e-03	2.866000e-06
