#M_sun	ba-130	ba-132	ba-134	ba-135	ba-136	ba-137	ba-138
8	0	0	0	0	0	0	0
1.200000e+01	1.406000e-12	1.366000e-12	3.311000e-11	9.098000e-11	1.092000e-10	1.573000e-10	1.012000e-09
1.500000e+01	1.018000e-12	9.890000e-13	2.398000e-11	6.588000e-11	7.907000e-11	1.139000e-10	7.325000e-10
2.000000e+01	1.564000e-12	1.519000e-12	3.682000e-11	1.012000e-10	1.214000e-10	1.749000e-10	1.125000e-09
2.500000e+01	4.735000e-12	4.599000e-12	1.115000e-10	3.064000e-10	3.677000e-10	5.298000e-10	3.406000e-09
