#M_sun	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
8	0	0	0	0	0	0	0	0	0	0
1.200000e+01	9.463000e-12	6.537000e-12	3.392000e-12	1.467000e-10	7.815000e-11	2.487000e-10	8.890000e-11	3.403000e-10	4.914000e-11	6.246000e-11
1.500000e+01	6.853000e-12	4.734000e-12	2.457000e-12	1.062000e-10	5.659000e-11	1.801000e-10	6.437000e-11	2.465000e-10	3.559000e-11	4.523000e-11
2.000000e+01	1.052000e-11	7.270000e-12	3.772000e-12	1.632000e-10	8.690000e-11	2.766000e-10	9.886000e-11	3.785000e-10	5.465000e-11	6.946000e-11
2.500000e+01	3.187000e-11	2.201000e-11	1.142000e-11	4.941000e-10	2.632000e-10	8.376000e-10	2.994000e-10	1.146000e-09	1.655000e-10	2.103000e-10
