#M	Z	eu-151	eu-153
1.200000e+01	6.000000e-03	1.578000e-11	1.745000e-11
1.500000e+01	6.000000e-03	1.143000e-11	1.264000e-11
2.000000e+01	6.000000e-03	1.755000e-11	1.941000e-11
2.500000e+01	6.000000e-03	5.314000e-11	5.877000e-11
