#M	Z	sr-84	sr-86	sr-87	sr-88
1.200000e+01	6.000000e-03	2.502000e-11	4.530000e-10	3.444000e-10	3.883000e-09
1.500000e+01	6.000000e-03	1.812000e-11	3.280000e-10	2.494000e-10	2.812000e-09
2.000000e+01	6.000000e-03	2.782000e-11	5.037000e-10	3.830000e-10	4.319000e-09
2.500000e+01	6.000000e-03	8.425000e-11	1.525000e-09	1.160000e-09	1.308000e-08
