#M_sun	ti-46	ti-47	ti-48	ti-49	ti-50
8	0	0	0	0	0
1.200000e+01	2.505000e-08	2.307000e-08	4.163000e-07	1.749000e-08	1.711000e-08
1.500000e+01	1.814000e-08	1.671000e-08	3.015000e-07	1.267000e-08	1.239000e-08
2.000000e+01	2.785000e-08	2.566000e-08	4.630000e-07	1.946000e-08	1.903000e-08
2.500000e+01	8.435000e-08	7.770000e-08	1.402000e-06	5.891000e-08	5.763000e-08
