#M_sun	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
8	0	0	0	0	0	0	0
1.200000e+01	7.779000e-14	1.351000e-13	3.334000e-12	2.711000e-11	3.680000e-11	3.614000e-11	4.117000e-11
1.500000e+01	5.633000e-14	9.780000e-14	2.414000e-12	1.963000e-11	2.665000e-11	2.617000e-11	2.981000e-11
2.000000e+01	8.650000e-14	1.502000e-13	3.707000e-12	3.015000e-11	4.092000e-11	4.019000e-11	4.578000e-11
2.500000e+01	2.619000e-13	4.548000e-13	1.123000e-11	9.129000e-11	1.239000e-10	1.217000e-10	1.386000e-10
