#M_sun	pb-206	pb-207	pb-204	pb-208
8	0	0	0	0
1.200000e+01	2.168000e-10	2.395000e-10	2.272000e-11	6.859000e-10
1.500000e+01	1.570000e-10	1.734000e-10	1.645000e-11	4.967000e-10
2.000000e+01	2.411000e-10	2.663000e-10	2.526000e-11	7.627000e-10
2.500000e+01	7.302000e-10	8.064000e-10	7.650000e-11	2.310000e-09
