#M	Z	as-75
1.200000e+01	6.000000e-03	1.108000e-09
1.500000e+01	6.000000e-03	8.026000e-10
2.000000e+01	6.000000e-03	1.232000e-09
2.500000e+01	6.000000e-03	3.732000e-09
