#M	Z	ga-69	ga-71
1.200000e+01	6.000000e-03	3.527000e-09	2.408000e-09
1.500000e+01	6.000000e-03	2.554000e-09	1.744000e-09
2.000000e+01	6.000000e-03	3.922000e-09	2.678000e-09
2.500000e+01	6.000000e-03	1.188000e-08	8.111000e-09
