#M_sun	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
8	0	0	0	0	0	0	0
1.200000e+01	2.332000e-13	1.531000e-11	2.604000e-11	3.582000e-11	2.055000e-11	4.678000e-11	1.086000e-11
1.500000e+01	1.689000e-13	1.108000e-11	1.886000e-11	2.594000e-11	1.488000e-11	3.388000e-11	7.865000e-12
2.000000e+01	2.594000e-13	1.702000e-11	2.896000e-11	3.984000e-11	2.285000e-11	5.202000e-11	1.208000e-11
2.500000e+01	7.854000e-13	5.154000e-11	8.769000e-11	1.206000e-10	6.919000e-11	1.575000e-10	3.657000e-11
