#M	Z	n-14	n-15
1.200000e+01	6.000000e-03	4.759000e-04	2.420000e-07
1.500000e+01	6.000000e-03	3.735000e-04	1.741000e-07
2.000000e+01	6.000000e-03	6.477000e-04	3.166000e-07
2.500000e+01	6.000000e-03	3.183000e-03	8.485000e-07
