#M	Z	sb-121	sb-123
1.200000e+01	6.000000e-03	4.896000e-11	3.722000e-11
1.500000e+01	6.000000e-03	3.546000e-11	2.696000e-11
2.000000e+01	6.000000e-03	5.445000e-11	4.139000e-11
2.500000e+01	6.000000e-03	1.649000e-10	1.253000e-10
