#M	Z	co-59
1.200000e+01	6.000000e-03	3.093000e-07
1.500000e+01	6.000000e-03	2.240000e-07
2.000000e+01	6.000000e-03	3.440000e-07
2.500000e+01	6.000000e-03	1.042000e-06
