#M	Z	na-23
1.200000e+01	6.000000e-03	3.741000e-06
1.500000e+01	6.000000e-03	2.933000e-06
2.000000e+01	6.000000e-03	5.835000e-06
2.500000e+01	6.000000e-03	2.409000e-05
