#M	Z	s-32	s-33	s-34	s-36
1.200000e+01	6.000000e-03	8.463000e-05	2.530000e-07	1.465000e-06	6.257000e-09
1.500000e+01	6.000000e-03	6.129000e-05	1.832000e-07	1.061000e-06	4.531000e-09
2.000000e+01	6.000000e-03	9.412000e-05	2.814000e-07	1.629000e-06	6.958000e-09
2.500000e+01	6.000000e-03	2.850000e-04	8.521000e-07	4.934000e-06	2.107000e-08
