#M	Z	fe-54	fe-56	fe-57	fe-58
1.200000e+01	6.000000e-03	6.292000e-06	1.024000e-04	2.408000e-06	3.260000e-07
1.500000e+01	6.000000e-03	4.556000e-06	7.417000e-05	1.744000e-06	2.361000e-07
2.000000e+01	6.000000e-03	6.997000e-06	1.139000e-04	2.677000e-06	3.626000e-07
2.500000e+01	6.000000e-03	2.119000e-05	3.449000e-04	8.108000e-06	1.098000e-06
