#M	Z	in-113	in-115
1.200000e+01	6.000000e-03	2.018000e-12	4.584000e-11
1.500000e+01	6.000000e-03	1.461000e-12	3.320000e-11
2.000000e+01	6.000000e-03	2.244000e-12	5.098000e-11
2.500000e+01	6.000000e-03	6.796000e-12	1.544000e-10
