#M_sun	v-50	v-51
8	0	0
1.200000e+01	7.870000e-11	3.207000e-08
1.500000e+01	5.699000e-11	2.322000e-08
2.000000e+01	8.752000e-11	3.566000e-08
2.500000e+01	2.650000e-10	1.080000e-07
