#M_sun	zn-64	zn-66	zn-67	zn-68	zn-70
8	0	0	0	0	0
1.200000e+01	8.763000e-08	5.185000e-08	7.735000e-09	3.590000e-08	1.222000e-09
1.500000e+01	6.346000e-08	3.755000e-08	5.601000e-09	2.600000e-08	8.849000e-10
2.000000e+01	9.746000e-08	5.766000e-08	8.602000e-09	3.992000e-08	1.359000e-09
2.500000e+01	2.951000e-07	1.746000e-07	2.605000e-08	1.209000e-07	4.115000e-09
