#M_sun	si-28	si-29	si-30
8	0	0	0
1.200000e+01	1.171000e-04	3.038000e-06	2.071000e-06
1.500000e+01	8.481000e-05	2.200000e-06	1.500000e-06
2.000000e+01	1.302000e-04	3.378000e-06	2.303000e-06
2.500000e+01	3.944000e-04	1.023000e-05	6.975000e-06
