#M	Z	b-11
1.200000e+01	6.000000e-03	2.213000e-10
1.500000e+01	6.000000e-03	1.603000e-10
2.000000e+01	6.000000e-03	2.461000e-10
2.500000e+01	6.000000e-03	7.454000e-10
