#M	Z	cl-35	cl-37
1.200000e+01	6.000000e-03	5.286000e-07	1.787000e-07
1.500000e+01	6.000000e-03	3.828000e-07	1.294000e-07
2.000000e+01	6.000000e-03	5.879000e-07	1.987000e-07
2.500000e+01	6.000000e-03	1.780000e-06	6.018000e-07
