#M	Z	la-138	la-139
1.200000e+01	6.000000e-03	1.242000e-13	1.387000e-10
1.500000e+01	6.000000e-03	8.996000e-14	1.005000e-10
2.000000e+01	6.000000e-03	1.381000e-13	1.543000e-10
2.500000e+01	6.000000e-03	4.178000e-13	4.672000e-10
