#M_sun	er-162	er-164	er-166	er-167	er-168	er-170
8	0	0	0	0	0	0
1.200000e+01	1.247000e-13	1.482000e-12	3.134000e-11	2.151000e-11	2.529000e-11	1.426000e-11
1.500000e+01	9.029000e-14	1.074000e-12	2.270000e-11	1.558000e-11	1.831000e-11	1.033000e-11
2.000000e+01	1.387000e-13	1.649000e-12	3.486000e-11	2.392000e-11	2.812000e-11	1.586000e-11
2.500000e+01	4.199000e-13	4.992000e-12	1.056000e-10	7.245000e-11	8.515000e-11	4.802000e-11
