#M	Z	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
1.200000e+01	6.000000e-03	9.336000e-06	3.924000e-08	8.383000e-09	1.325000e-07	2.657000e-10	1.296000e-08
1.500000e+01	6.000000e-03	6.761000e-06	2.842000e-08	6.071000e-09	9.598000e-08	1.924000e-10	9.387000e-09
2.000000e+01	6.000000e-03	1.038000e-05	4.364000e-08	9.322000e-09	1.474000e-07	2.955000e-10	1.441000e-08
2.500000e+01	6.000000e-03	3.144000e-05	1.321000e-07	2.823000e-08	4.463000e-07	8.948000e-10	4.365000e-08
