#M_sun	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
8	0	0	0	0	0	0	0
1.200000e+01	7.688000e-11	3.475000e-11	6.840000e-11	2.399000e-11	4.997000e-11	1.693000e-11	1.680000e-11
1.500000e+01	5.567000e-11	2.516000e-11	4.954000e-11	1.737000e-11	3.619000e-11	1.226000e-11	1.217000e-11
2.000000e+01	8.549000e-11	3.864000e-11	7.607000e-11	2.668000e-11	5.557000e-11	1.883000e-11	1.869000e-11
2.500000e+01	2.589000e-10	1.170000e-10	2.304000e-10	8.079000e-11	1.683000e-10	5.703000e-11	5.659000e-11
