#M	Z	bi-209
1.200000e+01	6.000000e-03	6.757000e-11
1.500000e+01	6.000000e-03	4.893000e-11
2.000000e+01	6.000000e-03	7.514000e-11
2.500000e+01	6.000000e-03	2.275000e-10
