#M	Z	w-180	w-182	w-183	w-184	w-186
1.200000e+01	6.000000e-03	6.506000e-14	1.455000e-11	7.903000e-12	1.701000e-11	1.595000e-11
1.500000e+01	6.000000e-03	4.711000e-14	1.054000e-11	5.723000e-12	1.232000e-11	1.155000e-11
2.000000e+01	6.000000e-03	7.235000e-14	1.618000e-11	8.789000e-12	1.892000e-11	1.774000e-11
2.500000e+01	6.000000e-03	2.191000e-13	4.900000e-11	2.661000e-11	5.729000e-11	5.372000e-11
