#M	Z	f-19
1.200000e+01	6.000000e-03	4.158000e-08
1.500000e+01	6.000000e-03	2.971000e-08
2.000000e+01	6.000000e-03	4.398000e-08
2.500000e+01	6.000000e-03	1.236000e-07
