#M	Z	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
1.200000e+01	6.000000e-03	3.287000e-12	3.660000e-11	7.407000e-11	9.152000e-11	9.028000e-11	4.073000e-11
1.500000e+01	6.000000e-03	2.380000e-12	2.651000e-11	5.364000e-11	6.628000e-11	6.538000e-11	2.949000e-11
2.000000e+01	6.000000e-03	3.655000e-12	4.070000e-11	8.238000e-11	1.018000e-10	1.004000e-10	4.529000e-11
2.500000e+01	6.000000e-03	1.107000e-11	1.233000e-10	2.494000e-10	3.082000e-10	3.040000e-10	1.372000e-10
