#M_sun	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
8	0	0	0	0	0	0
1.200000e+01	7.816000e-14	4.534000e-12	1.930000e-10	1.990000e-10	1.493000e-10	4.279000e-11
1.500000e+01	5.660000e-14	3.283000e-12	1.397000e-10	1.441000e-10	1.081000e-10	3.099000e-11
2.000000e+01	8.692000e-14	5.042000e-12	2.146000e-10	2.213000e-10	1.660000e-10	4.759000e-11
2.500000e+01	2.632000e-13	1.527000e-11	6.498000e-10	6.703000e-10	5.027000e-10	1.441000e-10
