#M	Z	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
1.200000e+01	6.000000e-03	1.227000e-13	2.903000e-12	1.372000e-11	2.109000e-11	1.568000e-11	3.112000e-11	1.262000e-11
1.500000e+01	6.000000e-03	8.885000e-14	2.103000e-12	9.935000e-12	1.528000e-11	1.135000e-11	2.253000e-11	9.137000e-12
2.000000e+01	6.000000e-03	1.364000e-13	3.229000e-12	1.526000e-11	2.346000e-11	1.743000e-11	3.460000e-11	1.403000e-11
2.500000e+01	6.000000e-03	4.132000e-13	9.777000e-12	4.620000e-11	7.104000e-11	5.279000e-11	1.048000e-10	4.249000e-11
