#M	Z	nb-93
1.200000e+01	6.000000e-03	1.473000e-10
1.500000e+01	6.000000e-03	1.066000e-10
2.000000e+01	6.000000e-03	1.638000e-10
2.500000e+01	6.000000e-03	4.959000e-10
