#M	Z	os-184	os-186	os-187	os-188	os-189	os-190	os-192
1.200000e+01	6.000000e-03	5.509000e-14	4.478000e-12	4.597000e-12	3.777000e-11	4.630000e-11	7.569000e-11	1.188000e-10
1.500000e+01	6.000000e-03	3.989000e-14	3.243000e-12	3.294000e-12	2.735000e-11	3.353000e-11	5.481000e-11	8.602000e-11
2.000000e+01	6.000000e-03	6.126000e-14	4.980000e-12	4.984000e-12	4.200000e-11	5.148000e-11	8.417000e-11	1.321000e-10
2.500000e+01	6.000000e-03	1.855000e-13	1.508000e-11	1.470000e-11	1.272000e-10	1.559000e-10	2.549000e-10	4.000000e-10
