#M	Z	cr-50	cr-52	cr-53	cr-54
1.200000e+01	6.000000e-03	6.406000e-08	1.285000e-06	1.485000e-07	3.765000e-08
1.500000e+01	6.000000e-03	4.639000e-08	9.303000e-07	1.075000e-07	2.726000e-08
2.000000e+01	6.000000e-03	7.124000e-08	1.429000e-06	1.651000e-07	4.187000e-08
2.500000e+01	6.000000e-03	2.157000e-07	4.326000e-06	5.000000e-07	1.268000e-07
