#M_sun	ar-36	ar-38	ar-40
8	0	0	0
1.200000e+01	1.268000e-05	1.220000e-06	2.054000e-09
1.500000e+01	9.185000e-06	8.835000e-07	1.487000e-09
2.000000e+01	1.410000e-05	1.357000e-06	2.284000e-09
2.500000e+01	4.271000e-05	4.108000e-06	6.917000e-09
