#M	Z	pr-141
1.200000e+01	6.000000e-03	5.356000e-11
1.500000e+01	6.000000e-03	3.878000e-11
2.000000e+01	6.000000e-03	5.956000e-11
2.500000e+01	6.000000e-03	1.804000e-10
