#M_sun	h-1	h-2
8	0	0
1.200000e+01	9.402000e-01	1.006000e-05
1.500000e+01	6.761000e-01	6.938000e-06
2.000000e+01	1.024000e+00	7.893000e-06
2.500000e+01	3.020000e+00	1.140000e-05
