#M_sun	ag-107	ag-109
8	0	0
1.200000e+01	6.076000e-11	5.751000e-11
1.500000e+01	4.400000e-11	4.164000e-11
2.000000e+01	6.757000e-11	6.395000e-11
2.500000e+01	2.046000e-10	1.937000e-10
