#M_sun	pd-102	pd-104	pd-105	pd-106	pd-108	pd-110
8	0	0	0	0	0	0
1.200000e+01	4.332471e-11	6.995700e-11	9.182470e-11	1.400173e-10	1.227307e-10	6.021270e-11
1.500000e+01	2.066475e-10	4.054155e-10	2.264170e-10	1.094538e-09	1.517558e-09	1.766495e-10
2.000000e+01	1.096890e-09	7.634700e-10	6.141110e-10	1.761925e-09	3.872967e-09	1.407632e-09
2.500000e+01	6.410000e-12	9.750630e-10	5.534790e-10	2.301155e-09	2.277221e-09	6.016440e-10
