#M_sun	ge-70	ge-72	ge-73	ge-74	ge-76
8	0	0	0	0	0
1.200000e+01	6.767571e-07	1.886425e-07	1.593374e-08	4.661321e-08	1.552367e-08
1.500000e+01	9.421936e-06	2.154991e-05	3.287758e-07	3.969858e-07	1.857570e-08
2.000000e+01	3.873657e-07	7.383201e-07	1.537491e-07	9.386597e-07	7.894889e-08
2.500000e+01	1.517884e-07	2.684165e-07	1.171198e-07	3.573214e-07	1.161195e-07
