#M_sun	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
8	0	0	0	0	0	0
1.200000e+01	6.575900e-03	1.341958e-05	2.942910e-06	6.309858e-05	1.140715e-08	1.713080e-08
1.500000e+01	5.096851e-03	1.535937e-05	1.382866e-06	4.505883e-06	2.447576e-08	2.440300e-08
2.000000e+01	1.386969e-02	2.793868e-05	1.223184e-07	6.402547e-06	4.326107e-08	3.340450e-08
2.500000e+01	3.006580e-05	7.169230e-07	4.443563e-07	5.006840e-07	7.555593e-08	5.036390e-08
